rowID,stamp,datetime,hum
295998,1497825497, 18/6/2017 22:33:317,64.4
296998,1497825498, 18/6/2017 22:33:318,64.4
297999,1497825499, 18/6/2017 22:33:319,64.5
299000,1497825500, 18/6/2017 22:33:320,64.5
300000,1497825501, 18/6/2017 22:33:321,64.5
300999,1497825502, 18/6/2017 22:33:322,64.5
301999,1497825503, 18/6/2017 22:33:323,64.5
302999,1497825504, 18/6/2017 22:33:324,64.5
303998,1497825505, 18/6/2017 22:33:325,64.5
304999,1497825506, 18/6/2017 22:33:326,64.5
305999,1497825507, 18/6/2017 22:33:327,64.5
306999,1497825508, 18/6/2017 22:33:328,64.5
308000,1497825509, 18/6/2017 22:33:329,64.5
309000,1497825510, 18/6/2017 22:33:330,64.5
309999,1497825511, 18/6/2017 22:33:331,64.5
311000,1497825512, 18/6/2017 22:33:332,64.6
311999,1497825513, 18/6/2017 22:33:333,64.6
312998,1497825514, 18/6/2017 22:33:334,64.6
313999,1497825515, 18/6/2017 22:33:335,64.6
314999,1497825516, 18/6/2017 22:33:336,64.6
316000,1497825517, 18/6/2017 22:33:337,64.7
316999,1497825518, 18/6/2017 22:33:338," ""64.70"""
318000,1497825519, 18/6/2017 22:33:339,64.7
318998,1497825520, 18/6/2017 22:33:340,64.7
320000,1497825521, 18/6/2017 22:33:341,64.7
320999,1497825522, 18/6/2017 22:33:342,64.7
321998,1497825523, 18/6/2017 22:33:343,64.7
322998,1497825524, 18/6/2017 22:33:344,64.7
323999,1497825525, 18/6/2017 22:33:345,64.7
325000,1497825526, 18/6/2017 22:33:346,64.6
325999,1497825527, 18/6/2017 22:33:347,64.6
326999,1497825528, 18/6/2017 22:33:348,64.6
327998,1497825529, 18/6/2017 22:33:349,64.6
328999,1497825530, 18/6/2017 22:33:350,64.6
330000,1497825531, 18/6/2017 22:33:351,64.5
330998,1497825532, 18/6/2017 22:33:352,64.5
331999,1497825533, 18/6/2017 22:33:353,64.5
332998,1497825534, 18/6/2017 22:33:354,64.4
333999,1497825535, 18/6/2017 22:33:355,64.4
335000,1497825536, 18/6/2017 22:33:356,64.5
335998,1497825537, 18/6/2017 22:33:357,64.5
336999,1497825538, 18/6/2017 22:33:358,64.5
337999,1497825539, 18/6/2017 22:33:359,64.4
338999,1497825540, 18/6/2017 22:33:360,64.4
